id,name_en,name_vi,slug,category,description,usage_count,status
TAG099,jawed ball,kẹt bóng,jawed-ball,rules,Jawed ball rule,0,active
TAG100,jump ball,bóng nhảy,jump-ball,rules,Jump ball situation,0,active
TAG101,spot ball,bóng đặt,spot-ball,rules,Ball spotting rules,0,active
TAG102,foot spot,điểm chân,foot-spot,rules,Foot spot location,0,active
TAG103,head string,dây đầu,head-string,rules,Head string line,0,active
TAG104,break box,vùng phá,break-box,rules,Break box area,0,active
TAG105,pocketed,đã ghi bàn,pocketed,rules,Ball pocketed rule,0,active
TAG106,turn,lượt đánh,turn,rules,Turn rules,0,active
TAG107,inning,hiệp,inning,rules,Inning rules,0,active
TAG108,frame,ván,frame,rules,Frame rules,0,active
TAG109,game over,kết thúc trận,game-over,rules,Game conclusion rules,0,active
TAG110,winner,người thắng,winner,rules,Winner determination,0,active
TAG111,drill,bài tập,drill,training,Practice drill,0,active
TAG112,practice,luyện tập,practice,training,Practice sessions,0,active
TAG113,warm up,khởi động,warm-up,training,Warm-up routine,0,active
TAG114,routine,thói quen,routine,training,Practice routine,0,active
TAG115,accuracy,độ chính xác,accuracy,training,Accuracy training,0,active
TAG116,speed control,kiểm soát lực,speed-control,training,Speed control training,0,active
TAG117,spin control,kiểm soát xoáy,spin-control,training,Spin control training,0,active
TAG118,position training,tập vị trí,position-training,training,Position play training,0,active
TAG119,shot making,kỹ thuật đánh,shot-making,training,Shot making practice,0,active
TAG120,bank training,tập băng,bank-training,training,Bank shot practice,0,active
TAG121,kick training,tập đá,kick-training,training,Kick shot practice,0,active
TAG122,distance learning,học từ xa,distance-learning,training,Online learning,0,active
TAG123,video analysis,phân tích video,video-analysis,training,Video review analysis,0,active
TAG124,self-evaluation,tự đánh giá,self-evaluation,training,Self-assessment practice,0,active
TAG125,progress tracking,theo dõi tiến bộ,progress-tracking,training,Progress monitoring,0,active
TAG126,training plan,kế hoạch tập,training-plan,training,Structured training plan,0,active
TAG127,beginner program,chương trình mới,beginner-program,training,Beginner training program,0,active
TAG128,advanced program,chương trình nâng cao,advanced-program,training,Advanced training program,0,active
TAG129,focus,tập trung,focus,mental,Mental focus technique,0,active
TAG130,concentration,chú tâm,concentration,mental,Concentration skill,0,active
TAG131,pressure,áp lực,pressure,mental,Pressure handling,0,active
TAG132,confidence,tự tin,confidence,mental,Confidence building,0,active
TAG133,mental game,tâm lý,mental-game,mental,Mental game aspect,0,active
TAG134,visualization,hình dung,visualization,mental,Shot visualization,0,active
TAG135,pre-shot routine,thói quen trước cú,pre-shot-routine,mental,Pre-shot routine,0,active
TAG136,breathing,hít thở,breathing,mental,Breathing technique,0,active
TAG137,relaxation,thư giãn,relaxation,mental,Relaxation technique,0,active
TAG138,tilt,mất bình tĩnh,tilt,mental,Tilt management,0,active
TAG139,frustration,thất vọng,frustration,mental,Frustration control,0,active
TAG140,positive thinking,suy nghĩ tích cực,positive-thinking,mental,Positive mindset,0,active
TAG141,self-talk,tự nói chuyện,self-talk,mental,Self-talk technique,0,active
TAG142,goal setting,đặt mục tiêu,goal-setting,mental,Goal setting skill,0,active
TAG143,mindfulness,chánh niệm,mindfulness,mental,Mindfulness practice,0,active
TAG144,clutch,quyết đấu,clutch,mental,Clutch performance,0,active
TAG145,momentum,đà,momentum,mental,Momentum management,0,active
TAG146,slump,sa sút,slump,mental,Slump recovery,0,active
TAG147,bounce back,phục hồi,bounce-back,mental,Recovery ability,0,active
TAG148,physics,vật lý,physics,physics,Physics principles,0,active
TAG149,ball dynamics,động lực bóng,ball-dynamics,physics,Ball motion physics,0,active
TAG150,collision,va chạm,collision,physics,Ball collision physics,0,active
TAG151,momentum transfer,truyền động lượng,momentum-transfer,physics,Energy transfer between balls,0,active
TAG152,friction,ma sát,friction,physics,Surface friction physics,0,active
TAG153,spin physics,vật lý xoáy,spin-physics,physics,Spin mechanics,0,active
TAG154,topspin,xoáy trên,topspin,physics,Topspin physics,0,active
TAG155,backspin,xoáy dưới,backspin,physics,Backspin physics,0,active
TAG156,sidespin,xoáy ngang,sidespin,physics,Sidespin physics,0,active
TAG157,english effect,hiệu ứng xoáy,english-effect,physics,English spin effect,0,active
TAG158,cue ball deflection,lệch bóng trắng,cue-ball-deflection,physics,Cue ball deflection,0,active
TAG159,throw,ném,throw,physics,Ball throw effect,0,active
TAG160,squirt,tắt,squirt,physics,Cue ball squirt,0,active
TAG161,swerve,cong,swerve,physics,Ball swerve curve,0,active
TAG162,speed,tốc độ,speed,physics,Ball speed physics,0,active
TAG163,angle,góc,angle,physics,Shot angle physics,0,active
TAG164,reflection,phản xạ,reflection,physics,Cushion reflection,0,active
TAG165,coefficient of restitution,hệ số phục hồi,coefficient-of-restitution,physics,Ball rebound coefficient,0,active
TAG166,deflection,lệch,deflection,physics,Cue deflection physics,0,active
TAG167,leverage,đòn bẩy,leverage,physics,Cue leverage effect,0,active
TAG168,gear effect,hiệu ứng bánh răng,gear-effect,physics,Gear effect physics,0,active
TAG169,stiffness,độ cứng,stiffness,physics,Cue stiffness,0,active
TAG170,diameter,đường kính,diameter,physics,Ball diameter,0,active
TAG171,weight,trọng lượng,weight,physics,Ball weight,0,active
TAG172,balance,cân bằng,balance,physics,Ball balance,0,active
TAG173,diameter ratio,tỷ lệ đường kính,diameter-ratio,physics,Ball to pocket ratio,0,active
TAG174,pocket geometry,hình học túi,pocket-geometry,physics,Pocket shape physics,0,active
TAG175,angle of incidence,góc tới,angle-of-incidence,physics,Incident angle physics,0,active
TAG176,angle of reflection,góc phản xạ,angle-of-reflection,physics,Reflection angle physics,0,active
TAG177,kinetic energy,động năng,kinetic-energy,physics,Kinetic energy transfer,0,active
TAG178,angular momentum,mô men động lượng,angular-momentum,physics,Ball spin momentum,0,active
TAG179,rolling,lăn,rolling,physics,Rolling ball physics,0,active
TAG180,sliding,trượt,sliding,physics,Sliding ball physics,0,active
TAG181,pure roll,lăn thuần,pure-roll,physics,Pure rolling motion,0,active
TAG182,stun shot,cú stun,stun-shot,physics,Stunned ball motion,0,active
TAG183,stop shot,cú dừng,stop-shot,physics,Stop shot physics,0,active
TAG184,drag shot,cú kéo,drag-shot,physics,Drag shot technique,0,active
TAG185,peel shot,cú bóc,peel-shot,physics,Peel shot effect,0,active
TAG186,throw shot,cú ném,throw-shot,physics,Throw shot physics,0,active
TAG187,free ball,bóng tự do,free-ball,rules,Free ball situation,0,active
TAG188,miss,trượt,miss,rules,Shot miss rule,0,active
TAG189,open break,phá mở,open-break,rules,Open break rules,0,active
TAG190,clean break,phá sạch,clean-break,rules,Clean break rules,0,active
TAG191,eight ball pocketed early,đánh 8 bóng sớm,eight-ball-early,rules,Early 8-ball pocket rule,0,active
TAG192,slop,bóng lọt,slop,rules,Slop pocket rule,0,active
TAG193,simultaneous,đồng thời,simultaneous,rules,Simultaneous pocket rule,0,active
TAG194,object ball frozen,bóng đối tượng dính,object-ball-frozen,rules,Frozen ball rule,0,active
TAG195,cushion contact,chạm đệm,cushion-contact,rules,Cushion contact rule,0,active
TAG196,cue ball behind head string,bóng trắng sau dây,cue-ball-behind-head-string,rules,Behind head string rule,0,active
TAG197,inside english,xoáy trong,inside-english,technique,Inside english spin,0,active
TAG198,outside english,xoáy ngoài,outside-english,technique,Outside english spin,0,active
TAG199,high english,xoáy cao,high-english,technique,High english spin,0,active
TAG200,low english,xoáy thấp,low-english,technique,Low english spin,0,active
TAG201,center high,giữa cao,center-high,technique,Center high hit,0,active
TAG202,center low,giữa thấp,center-low,technique,Center low hit,0,active
TAG203,full ball,đánh đầy,full-ball,technique,Full ball hit,0,active
TAG204,half ball,nửa bóng,half-ball,technique,Half ball hit,0,active
TAG205,quarter ball,tư bóng,quarter-ball,technique,Quarter ball hit,0,active
TAG206,thin cut,cắt mỏng,thin-cut,technique,Thin cut shot,0,active
TAG207,thick cut,cắt dày,thick-cut,technique,Thick cut shot,0,active
TAG208,controlled break,phá kiểm soát,controlled-break,technique,Controlled break shot,0,active
TAG209,power break,phá lực,power-break,technique,Power break shot,0,active
TAG210,scratch break,phá gãi,scratch-break,technique,Scratch on break,0,active
TAG211,parallel stance,tư thế song song,parallel-stance,technique,Parallel stance,0,active
TAG212,open stance,tư thế mở,open-stance,technique,Open stance,0,active
TAG213,close stance,tư thế đóng,close-stance,technique,Close stance,0,active
TAG214,square stance,tư thế vuông,square-stance,technique,Square stance,0,active
TAG215,open bridge,cầu mở,open-bridge,technique,Open bridge hand,0,active
TAG216,closed bridge,cầu đóng,closed-bridge,technique,Closed bridge hand,0,active
TAG217,rail bridge,cầu đệm,rail-bridge,technique,Rail bridge position,0,active
TAG218,mechanical bridge,gậy chống,mechanical-bridge,technique,Mechanical bridge use,0,active
TAG219,loose grip,cầm lỏng,loose-grip,technique,Loose grip technique,0,active
TAG220,tight grip,cầm chặt,tight-grip,technique,Tight grip technique,0,active
TAG221,sight alignment,ngắm đường,sight-alignment,technique,Sight alignment,0,active
TAG222,follow through,điểm kết thúc,follow-through,technique,Follow through technique,0,active
TAG223,delivery,đẩy gậy,delivery,technique,Cue delivery,0,active
TAG224,rhythm,nhịp điệu,rhythm,technique,Shot rhythm,0,active
TAG225,tempo,nhịp,tempo,technique,Shot tempo,0,active
TAG226,shooter,người đánh,shooter,game_type,Active player,0,active
TAG227,opponent,đối thủ,opponent,game_type,Opposing player,0,active
TAG228,referee,trọng tài,referee,game_type,Match referee,0,active
TAG229,coach,huấn luyện viên,coach,game_type,Player coach,0,active
TAG230,spectator,khán giả,spectator,game_type,Match spectator,0,active
TAG231,left handed,thuận tay trái,left-handed,game_type,Left-handed player,0,active
TAG232,right handed,thuận tay phải,right-handed,game_type,Right-handed player,0,active
TAG233,ambidextrous,hai tay,ambidextrous,game_type,Two-handed player,0,active
TAG234,pocket speed,tốc độ túi,pocket-speed,training,Pocket speed drill,0,active
TAG235,straight shot,cú thẳng,straight-shot,training,Straight shot drill,0,active
TAG236,long shot,cú xa,long-shot,training,Long distance shot,0,active
TAG237,short shot,cú gần,short-shot,training,Short distance shot,0,active
TAG238,tight pocket,túi khó,tight-pocket,training,Tight pocket shot,0,active
TAG239,corner pocket,túi góc,corner-pocket,training,Corner pocket shot,0,active
TAG240,side pocket,túi bên,side-pocket,training,Side pocket shot,0,active
TAG241,speed drill,bài tập tốc độ,speed-drill,training,Speed training drill,0,active
TAG242,safety drill,bài tập an toàn,safety-drill,training,Safety practice drill,0,active
TAG243,multi-ball drill,bài tập đa bóng,multi-ball-drill,training,Multiple ball drill,0,active
TAG244,clock drill,bài tập đồng hồ,clock-drill,training,Clock position drill,0,active
TAG245,one pocket drill,bài tập một túi,one-pocket-drill,training,One pocket practice,0,active
TAG246,9-ball drill,bài tập 9-balls,9-ball-drill,training,9-ball practice drill,0,active
TAG247,8-ball drill,bài tập 8-balls,8-ball-drill,training,8-ball practice drill,0,active
TAG248,conditioning,thể lực,conditioning,training,Physical conditioning,0,active
TAG249,endurance,sức bền,endurance,training,Match endurance,0,active
TAG250,hand eye coordination,phối hợp mắt tay,hand-eye-coordination,training,Hand-eye coordination,0,active
TAG251,wrist flexibility,linh hoạt cổ tay,wrist-flexibility,training,Wrist flexibility,0,active
TAG252,stretching,khí công,stretching,training,Stretching exercises,0,active
TAG253,game sense,cảm giác trò chơi,game-sense,training,Game awareness,0,active
TAG254,shot selection,chọn cú đánh,shot-selection,training,Shot selection skill,0,active
TAG255,pattern play,chơi theo mẫu,pattern-play,training,Pattern recognition,0,active
TAG256,table reading,đọc bàn,table-reading,training,Table condition reading,0,active
TAG257,spin reading,đọc xoáy,spin-reading,training,Spin effect reading,0,active
TAG258,english control,kiểm soát xoáy ngang,english-control,training,English application,0,active
TAG259,diamond system,hệ thống kim cương,diamond-system,training,Diamond aiming system,0,active
TAG260,ghost ball system,hệ thống bóng ma,ghost-ball-system,training,Ghost ball aiming,0,active
TAG261,cte,cte,cte,training,Center to edge aiming,0,active
TAG262,fractional aiming,ngắm phân số,fractional-aiming,training,Fractional aiming system,0,active
TAG263,parallel line,đường song song,parallel-line,training,Parallel line aiming,0,active
TAG264,ghost ball control,kiểm soát bóng ma,ghost-ball-control,training,Ghost ball application,0,active
TAG265,shot clock,đồng hồ đánh,shot-clock,training,Timed shot practice,0,active
TAG266,competition mindset,tư duy thi đấu,competition-mindset,mental,Competitive thinking,0,active
TAG267,learning mindset,tư duy học tập,learning-mindset,mental,Growth mindset,0,active
TAG268,patience,kiên nhẫn,patience,mental,Patient approach,0,active
TAG269,discipline,kỷ luật,discipline,mental,Disciplined play,0,active
TAG270,composure,điềm tĩnh,composure,mental,Composed demeanor,0,active
TAG271,sportsmanship,đạo đức thể thao,sportsmanship,mental,Good sportsmanship,0,active
TAG272,etiquette,cư xử,etiquette,mental,Pool hall etiquette,0,active
TAG273,arithmetic,tính toán,arithmetic,mental,Score calculation,0,active
TAG274,game planning,lập kế hoạch,game-planning,mental,Strategic planning,0,active
TAG275,shot planning,lập kế hoạch đánh,shot-planning,mental,Individual shot planning,0,active
TAG276,defensive planning,lập kế hoạch phòng thủ,defensive-planning,mental,Safety planning,0,active
TAG277,risk assessment,đánh giá rủi ro,risk-assessment,mental,Risk evaluation,0,active
TAG278,reward assessment,đánh giá lợi ích,reward-assessment,mental,Reward evaluation,0,active
TAG279,percentage play,chơi theo tỷ lệ,percentage-play,mental,Percentage shot choice,0,active
TAG280,high percentage,tỷ lệ cao,high-percentage,mental,High percentage shot,0,active
TAG281,low percentage,tỷ lệ thấp,low-percentage,mental,Low percentage shot,0,active
TAG282,creative play,chơi sáng tạo,creative-play,mental,Creative shot making,0,active
TAG283,conservative play,chơi an toàn,conservative-play,mental,Conservative approach,0,active
TAG284,aggressive play,chơi tấn công,aggressive-play,mental,Aggressive strategy,0,active
TAG285,calculated risk,rủi ro có tính toán,calculated-risk,mental,Calculated risk taking,0,active
TAG286,table position,vị trí trên bàn,table-position,mental,Table position awareness,0,active
TAG287,balls remaining,bóng còn lại,balls-remaining,mental,Remaining balls awareness,0,active
TAG288,score differential,chênh lệch điểm,score-differential,mental,Score gap awareness,0,active
TAG289,match situation,tình huống trận đấu,match-situation,mental,Match context awareness,0,active
TAG290,critical shot,cú đánh quan trọng,critical-shot,mental,Crucial shot moment,0,active
TAG291,game ball,bóng quyết định,game-ball,mental,Match winning ball,0,active
TAG292,match ball,bóng trận đấu,match-ball,mental,Match point situation,0,active
TAG293,break and run,phá và chạy,break-and-run,technique,Break and run out,0,active
TAG294,clearing,dọn bàn,clearing,technique,Ball clearing technique,0,active
TAG295,run out,chạy bàn,run-out,technique,Table run out,0,active
TAG296,safe offense,tấn công an toàn,safe-offense,technique,Safe offensive play,0,active
TAG297,two rail kick,đá hai băng,two-rail-kick,technique,Two rail kick shot,0,active
TAG298,three rail kick,đá ba băng,three-rail-kick,technique,Three rail kick shot,0,active
TAG299,one rail bank,băng một đệm,one-rail-bank,technique,One rail bank shot,0,active
TAG300,two rail bank,băng hai đệm,two-rail-bank,technique,Two rail bank shot,0,active
TAG301,controlled english,xoáy kiểm soát,controlled-english,technique,Controlled english use,0,active
TAG302,natural english,xoáy tự nhiên,natural-english,technique,Natural english effect,0,active
TAG303,unnatural english,xoáy ngược,unnatural-english,technique,Unnatural english effect,0,active
TAG304,side spin,xoáy bên,side-spin,technique,Side spin application,0,active
TAG305,running english,xoáy chạy,running-english,technique,Running english effect,0,active
TAG306,check english,xoáy kiểm tra,check-english,technique,Check english effect,0,active
TAG307,stop english,xoáy dừng,stop-english,technique,Stop english effect,0,active
TAG308,finesse,kỹ thuật mềm,finesse,technique,Finesse shot making,0,active
TAG309,touch,cảm giác,touch,technique,Shot touch feel,0,active
TAG310,feel,cảm giác bóng,feel,technique,Ball contact feel,0,active
TAG311,mechanics,cơ chế,mechanics,technique,Shot mechanics,0,active
TAG312,fundamentals,cơ bản,fundamentals,technique,Fundamental technique,0,active
TAG313,form,form,form,technique,Proper shooting form,0,active
TAG314,technique,kỹ thuật,technique,technique,Technique general,0,active
TAG315,skills,kỹ năng,skills,technique,Pool skills,0,active
TAG316,shaft speed,tốc độ thân gậy,shaft-speed,technique,Shaft speed control,0,active
TAG317,stroke,nhát đánh,stroke,technique,Cue stroke technique,0,active
TAG318,backswing,lùi gậy,backswing,technique,Backswing technique,0,active
TAG319,acceleration,gia tốc,acceleration,technique,Cue acceleration,0,active
TAG320,deceleration,giảm tốc,deceleration,technique,Cue deceleration issue,0,active
TAG321,straight stroke,nhát thẳng,straight-stroke,technique,Straight cue stroke,0,active
TAG322,curved stroke,nhát cong,curved-stroke,technique,Curved cue stroke,0,active
TAG323,jerk,giật,jerk,technique,Jerky stroke problem,0,active
TAG324,snake shot,cú rắn,snake-shot,technique,Snake shot technique,0,active
TAG325,swerve shot,cú vòng,swerve-shot,technique,Swerve shot technique,0,active
TAG326,curve,vòng cung,curve,technique,Curve ball shot,0,active
TAG327,chinese pool,pool trung quốc,chinese-pool,game_type,Chinese 8-ball variant,0,active
TAG328,blackball,blackball,blackball,game_type,Blackball pool variant,0,active
TAG329,british 8-ball,8-balls anh,british-8-ball,game_type,British 8-ball rules,0,active
TAG330,casino,casino,casino,game_type,Casino pool game,0,active
TAG331,continuous pool,pool liên tục,continuous-pool,game_type,Continuous pool game,0,active
TAG332,baby pool,baby pool,baby-pool,game_type,Baby pool variant,0,active
TAG333,keys,keys,keys,game_type,Keys pool game,0,active
TAG334,bull,bull,bull,game_type,Bull pool game,0,active
TAG335,straight rail,thẳng băng,straight-rail,game_type,Straight rail carom,0,active
TAG336,balkline,balkline,balkline,game_type,Balkline carom game,0,active
TAG337,cushion carom,carom đệm,cushion-carom,game_type,Cushion carom game,0,active
TAG338,english billiards,billiards anh,english-billiards,game_type,English billiards variant,0,active
TAG339,world cup,world cup,world-cup,tournament,World Cup event,0,active
TAG340,world championship,vô địch thế giới,world-championship,tournament,World Championship,0,active
TAG341,regional,khu vực,regional,tournament,Regional tournament,0,active
TAG342,local,địa phương,local,tournament,Local tournament,0,active
TAG343,club level,cấp clb,club-level,tournament,Club level play,0,active
TAG344,amateur,nghiệp dư,amateur,tournament,Amateur tournament,0,active
TAG345,junior,trẻ,junior,tournament,Junior tournament,0,active
TAG346,senior,lớn tuổi,senior,tournament,Senior tournament,0,active
TAG347,leagues,giải đấu,leagues,tournament,League play,0,active
TAG348,team,đội,team,tournament,Team competition,0,active
TAG349,prize money,tiền thưởng,prize-money,tournament,Prize money event,0,active
TAG350,money match,trận đấu tiền,money-match,tournament,Money match,0,active
TAG351,head to head,đối đầu,head-to-head,tournament,Head to head match,0,active
TAG352,sets,ván,sets,tournament,Set format,0,active
TAG353,games,trận,games,tournament,Game count format,0,active
TAG354,points,điểm,points,tournament,Points race format,0,active
TAG355,alternate break,phá luân phiên,alternate-break,tournament,Alternate break format,0,active
TAG356,winner break,phá người thắng,winner-break,tournament,Winner break format,0,active
TAG357,home table,bàn nhà,home-table,equipment,Home table setup,0,active
TAG358,commercial table,bàn thương mại,commercial-table,equipment,Commercial table,0,active
TAG359,tournament table,bàn thi đấu,tournament-table,equipment,Tournament table,0,active
TAG360,7 foot,7 feet,7-foot,equipment,7-foot table,0,active
TAG361,8 foot,8 feet,8-foot,equipment,8-foot table,0,active
TAG362,9 foot,9 feet,9-foot,equipment,9-foot table,0,active
TAG363,10 foot,10 feet,10-foot,equipment,10-foot table,0,active
TAG364,12 foot,12 feet,12-foot,equipment,12-foot table,0,active
TAG365,bar box,bàn bar,bar-box,equipment,Bar table,0,active
TAG366,oversized pocket,túi lớn,oversized-pocket,equipment,Large pocket table,0,active
TAG367,tight pocket,túi nhỏ,tight-pocket,equipment,Small pocket table,0,active
TAG368,standard pocket,túi tiêu chuẩn,standard-pocket,equipment,Standard pocket size,0,active
TAG369,drop pocket,túi rơi,drop-pocket,equipment,Drop pocket table,0,active
TAG370,ball return,hốt bóng,ball-return,equipment,Ball return system,0,active
TAG371,overhead light,đèn trần,overhead-light,equipment,Overhead lighting,0,active
TAG372,lamp,đèn,lamp,equipment,Billiard lamp,0,active
TAG373,tip tool,dụng cụ mũi,tip-tool,equipment,Tip maintenance tool,0,active
TAG374,scuffer,dao cạo,scuffer,equipment,Tip scuffer tool,0,active
TAG375,burnisher,đánh bóng,burnisher,equipment,Tip burnisher,0,active
TAG376,shaper,tạo hình,shaper,equipment,Tip shaper,0,active
TAG377,cleaner,vệ sinh,cleaner,equipment,Ball cleaner,0,active
TAG378,restorer,phục hồi,restorer,equipment,Ball restorer,0,active
TAG379,polisher,đánh bóng,polisher,equipment,Ball polisher,0,active
TAG380,conditioner,dưỡng nỉ,conditioner,equipment,Felt conditioner,0,active
TAG381,level,thăng bằng,level,equipment,Table level tool,0,active
